fixture_id,home_team_winning_odd,away_team_winning_odd
1238343,2.826923076923077,2.2007692307692306
1238344,2.003846153846154,3.120769230769231
1238345,1.5953846153846152,4.67
1238887,2.0746153846153845,3.218461538461538
1238888,1.5799999999999998,5.08
1238889,1.8030769230769232,4.04
1238891,1.4761538461538461,5.933076923076923
1238892,2.64,2.4584615384615387
1238893,3.589230769230769,1.9415384615384614
1238894,2.459230769230769,2.506153846153846
1238895,2.3923076923076922,2.7638461538461536
1238896,1.3738461538461537,7.016153846153846
1238897,2.040769230769231,3.0415384615384613
1238898,3.4284615384615384,1.9930769230769232
1239749,2.0461538461538464,3.1723076923076925
1239750,2.673076923076923,2.3007692307692307
1239751,1.6630769230769231,4.088461538461538
1240320,1.758888888888889,4.645555555555556
1243570,4.0236363636363635,1.7072727272727273
1243571,4.7875000000000005,1.5391666666666666
1243572,1.3281818181818184,7.434545454545455
1243573,1.5127272727272727,4.970909090909091
1243574,2.7409090909090907,2.22
1243575,6.3420000000000005,1.3619999999999999
1243576,1.4572727272727273,5.987272727272727
1243577,1.508181818181818,5.175454545454546
1243578,2.5818181818181816,2.440909090909091
1246575,1.195,13.209285714285715
1246579,1.6528571428571428,5.060714285714285
1246581,1.5742857142857143,5.324285714285715
1253375,3.59,1.973
1253738,2.4925,2.46
1253739,2.18375,2.80375
1253740,1.62,4.47375
1253741,2.67875,2.205
1253742,1.97875,3.2424999999999997
1253743,2.28875,2.64375
1253744,2.045,2.95625
1253745,1.8225,3.57875
1256759,1.9625,3.1225
1256763,2.28625,2.57875
1256779,2.9225,2.1025
1257250,2.263333333333333,2.6283333333333334
1257272,2.1666666666666665,2.8455555555555554
1257275,1.3577777777777778,6.251111111111111
1257725,1.77125,3.6862500000000002
1257726,1.95875,3.13125
1257727,1.4137499999999998,5.60375
1257728,1.9075,3.22125
1257729,1.67125,4.015
1257730,3.4788888888888887,1.8444444444444446
1257733,3.16125,1.97
1163442,2.713,2.281
1163443,3.220833333333333,1.9741666666666664
1163444,6.731999999999999,1.3290000000000002
1166381,2.5614285714285714,2.6807142857142856
1166477,2.307857142857143,3.0357142857142856
1166478,2.197142857142857,3.355
1176092,6.01125,1.5175
1183339,1.8107142857142857,4.463571428571429
1183340,2.0585714285714287,3.8485714285714283
1183341,2.14,3.560714285714286
